"icd_10_cm","description","ccs_diagnosis_category","ccs_description"
"A218","Other forms of tularemia",3,"Bacterial infection; unspecified site"
"A219","Tularemia, unspecified",3,"Bacterial infection; unspecified site"
"A220","Cutaneous anthrax",197,"Skin and subcutaneous tissue infections"
"A221","Pulmonary anthrax",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"A222","Gastrointestinal anthrax",135,"Intestinal infection"
"A227","Anthrax sepsis",2,"Septicemia (except in labor)"
"A228","Other forms of anthrax",3,"Bacterial infection; unspecified site"
"A229","Anthrax, unspecified",3,"Bacterial infection; unspecified site"
"A230","Brucellosis due to Brucella melitensis",3,"Bacterial infection; unspecified site"
"A231","Brucellosis due to Brucella abortus",3,"Bacterial infection; unspecified site"
"A232","Brucellosis due to Brucella suis",3,"Bacterial infection; unspecified site"
"A233","Brucellosis due to Brucella canis",3,"Bacterial infection; unspecified site"
"A238","Other brucellosis",3,"Bacterial infection; unspecified site"
"A239","Brucellosis, unspecified",3,"Bacterial infection; unspecified site"
"A240","Glanders",3,"Bacterial infection; unspecified site"
"A241","Acute and fulminating melioidosis",3,"Bacterial infection; unspecified site"
"A242","Subacute and chronic melioidosis",3,"Bacterial infection; unspecified site"
"A243","Other melioidosis",3,"Bacterial infection; unspecified site"
"A249","Melioidosis, unspecified",3,"Bacterial infection; unspecified site"
"A250","Spirillosis",3,"Bacterial infection; unspecified site"
"A251","Streptobacillosis",3,"Bacterial infection; unspecified site"
"A259","Rat-bite fever, unspecified",3,"Bacterial infection; unspecified site"
"A260","Cutaneous erysipeloid",3,"Bacterial infection; unspecified site"
"A267","Erysipelothrix sepsis",2,"Septicemia (except in labor)"
"A268","Other forms of erysipeloid",3,"Bacterial infection; unspecified site"
"A269","Erysipeloid, unspecified",3,"Bacterial infection; unspecified site"
"A270","Leptospirosis icterohemorrhagica",8,"Other infections; including parasitic"
"A2781","Aseptic meningitis in leptospirosis",76,"Meningitis (except that caused by tuberculosis or sexually transmitted disease)"
"A2789","Other forms of leptospirosis",3,"Bacterial infection; unspecified site"
"A279","Leptospirosis, unspecified",8,"Other infections; including parasitic"
"A280","Pasteurellosis",3,"Bacterial infection; unspecified site"
"A281","Cat-scratch disease",3,"Bacterial infection; unspecified site"
"A282","Extraintestinal yersiniosis",3,"Bacterial infection; unspecified site"
"A288","Other specified zoonotic bacterial diseases, not elsewhere classified",3,"Bacterial infection; unspecified site"
"A289","Zoonotic bacterial disease, unspecified",3,"Bacterial infection; unspecified site"
"A300","Indeterminate leprosy",3,"Bacterial infection; unspecified site"
"A301","Tuberculoid leprosy",3,"Bacterial infection; unspecified site"
"A302","Borderline tuberculoid leprosy",3,"Bacterial infection; unspecified site"
"A303","Borderline leprosy",3,"Bacterial infection; unspecified site"
"A304","Borderline lepromatous leprosy",3,"Bacterial infection; unspecified site"
"A305","Lepromatous leprosy",3,"Bacterial infection; unspecified site"
"A308","Other forms of leprosy",3,"Bacterial infection; unspecified site"
"A309","Leprosy, unspecified",3,"Bacterial infection; unspecified site"
"A310","Pulmonary mycobacterial infection",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"A311","Cutaneous mycobacterial infection",197,"Skin and subcutaneous tissue infections"
"A312","Disseminated mycobacterium avium-intracellulare complex (DMAC)",3,"Bacterial infection; unspecified site"
"A318","Other mycobacterial infections",3,"Bacterial infection; unspecified site"
"A319","Mycobacterial infection, unspecified",3,"Bacterial infection; unspecified site"
"A320","Cutaneous listeriosis",3,"Bacterial infection; unspecified site"
"A3211","Listerial meningitis",76,"Meningitis (except that caused by tuberculosis or sexually transmitted disease)"
"A3212","Listerial meningoencephalitis",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
"A327","Listerial sepsis",2,"Septicemia (except in labor)"
"A3281","Oculoglandular listeriosis",3,"Bacterial infection; unspecified site"
"A3282","Listerial endocarditis",3,"Bacterial infection; unspecified site"
"A3289","Other forms of listeriosis",3,"Bacterial infection; unspecified site"
"A329","Listeriosis, unspecified",3,"Bacterial infection; unspecified site"
"A33","Tetanus neonatorum",224,"Other perinatal conditions"
"A34","Obstetrical tetanus",195,"Other complications of birth; puerperium affecting management of mother"
"A35","Other tetanus",3,"Bacterial infection; unspecified site"
"A360","Pharyngeal diphtheria",126,"Other upper respiratory infections"
"A361","Nasopharyngeal diphtheria",126,"Other upper respiratory infections"
"A362","Laryngeal diphtheria",126,"Other upper respiratory infections"
"A363","Cutaneous diphtheria",197,"Skin and subcutaneous tissue infections"
"A3681","Diphtheritic cardiomyopathy",97,"Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)"
"A3682","Diphtheritic radiculomyelitis",3,"Bacterial infection; unspecified site"
"A3683","Diphtheritic polyneuritis",3,"Bacterial infection; unspecified site"
"A3684","Diphtheritic tubulo-interstitial nephropathy",3,"Bacterial infection; unspecified site"
"A3685","Diphtheritic cystitis",159,"Urinary tract infections"
"A3686","Diphtheritic conjunctivitis",90,"Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)"
"A3689","Other diphtheritic complications",3,"Bacterial infection; unspecified site"
"A369","Diphtheria, unspecified",3,"Bacterial infection; unspecified site"
"A3700","Whooping cough due to Bordetella pertussis without pneumonia",3,"Bacterial infection; unspecified site"
"A3701","Whooping cough due to Bordetella pertussis with pneumonia",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"A3710","Whooping cough due to Bordetella parapertussis without pneumonia",3,"Bacterial infection; unspecified site"
"A3711","Whooping cough due to Bordetella parapertussis with pneumonia",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"A3780","Whooping cough due to other Bordetella species without pneumonia",3,"Bacterial infection; unspecified site"
"A3781","Whooping cough due to other Bordetella species with pneumonia",3,"Bacterial infection; unspecified site"
"A3790","Whooping cough, unspecified species without pneumonia",3,"Bacterial infection; unspecified site"
"A3791","Whooping cough, unspecified species with pneumonia",3,"Bacterial infection; unspecified site"
"A380","Scarlet fever with otitis media",3,"Bacterial infection; unspecified site"
"A381","Scarlet fever with myocarditis",97,"Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)"
"A388","Scarlet fever with other complications",3,"Bacterial infection; unspecified site"
"A389","Scarlet fever, uncomplicated",3,"Bacterial infection; unspecified site"
"A390","Meningococcal meningitis",76,"Meningitis (except that caused by tuberculosis or sexually transmitted disease)"
"A391","Waterhouse-Friderichsen syndrome",3,"Bacterial infection; unspecified site"
"A392","Acute meningococcemia",2,"Septicemia (except in labor)"
"A393","Chronic meningococcemia",2,"Septicemia (except in labor)"
"A394","Meningococcemia, unspecified",2,"Septicemia (except in labor)"
"A3950","Meningococcal carditis, unspecified",97,"Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)"
"A3951","Meningococcal endocarditis",97,"Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)"
"A3952","Meningococcal myocarditis",97,"Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)"
"A3953","Meningococcal pericarditis",97,"Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)"
"A3981","Meningococcal encephalitis",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
"A3982","Meningococcal retrobulbar neuritis",3,"Bacterial infection; unspecified site"
"A3983","Meningococcal arthritis",201,"Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)"
"A3984","Postmeningococcal arthritis",201,"Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)"
"A3989","Other meningococcal infections",3,"Bacterial infection; unspecified site"
"A399","Meningococcal infection, unspecified",3,"Bacterial infection; unspecified site"
"A400","Sepsis due to streptococcus, group A",2,"Septicemia (except in labor)"
"A401","Sepsis due to streptococcus, group B",2,"Septicemia (except in labor)"
"A403","Sepsis due to Streptococcus pneumoniae",2,"Septicemia (except in labor)"
"A408","Other streptococcal sepsis",2,"Septicemia (except in labor)"
"A409","Streptococcal sepsis, unspecified",2,"Septicemia (except in labor)"
"A4101","Sepsis due to Methicillin susceptible Staphylococcus aureus",2,"Septicemia (except in labor)"
"A4102","Sepsis due to Methicillin resistant Staphylococcus aureus",2,"Septicemia (except in labor)"
"A411","Sepsis due to other specified staphylococcus",2,"Septicemia (except in labor)"
"A412","Sepsis due to unspecified staphylococcus",2,"Septicemia (except in labor)"
"A413","Sepsis due to Hemophilus influenzae",2,"Septicemia (except in labor)"
"A414","Sepsis due to anaerobes",2,"Septicemia (except in labor)"
"A4150","Gram-negative sepsis, unspecified",2,"Septicemia (except in labor)"
"A4151","Sepsis due to Escherichia coli [E. coli]",2,"Septicemia (except in labor)"
"A4152","Sepsis due to Pseudomonas",2,"Septicemia (except in labor)"
"A4153","Sepsis due to Serratia",2,"Septicemia (except in labor)"
"A4159","Other Gram-negative sepsis",2,"Septicemia (except in labor)"
"A4181","Sepsis due to Enterococcus",2,"Septicemia (except in labor)"
"A4189","Other specified sepsis",2,"Septicemia (except in labor)"
"A419","Sepsis, unspecified organism",2,"Septicemia (except in labor)"
"A420","Pulmonary actinomycosis",3,"Bacterial infection; unspecified site"
"A421","Abdominal actinomycosis",3,"Bacterial infection; unspecified site"
"A422","Cervicofacial actinomycosis",3,"Bacterial infection; unspecified site"
"A427","Actinomycotic sepsis",2,"Septicemia (except in labor)"
"A4281","Actinomycotic meningitis",76,"Meningitis (except that caused by tuberculosis or sexually transmitted disease)"
"A4282","Actinomycotic encephalitis",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
"A4289","Other forms of actinomycosis",3,"Bacterial infection; unspecified site"
"A429","Actinomycosis, unspecified",3,"Bacterial infection; unspecified site"
"A430","Pulmonary nocardiosis",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"A431","Cutaneous nocardiosis",197,"Skin and subcutaneous tissue infections"
"A438","Other forms of nocardiosis",3,"Bacterial infection; unspecified site"
"A439","Nocardiosis, unspecified",3,"Bacterial infection; unspecified site"
"A440","Systemic bartonellosis",3,"Bacterial infection; unspecified site"
"A441","Cutaneous and mucocutaneous bartonellosis",3,"Bacterial infection; unspecified site"
"A448","Other forms of bartonellosis",3,"Bacterial infection; unspecified site"
"A449","Bartonellosis, unspecified",3,"Bacterial infection; unspecified site"
"A46","Erysipelas",197,"Skin and subcutaneous tissue infections"
"A480","Gas gangrene",3,"Bacterial infection; unspecified site"
"A481","Legionnaires' disease",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"A482","Nonpneumonic Legionnaires' disease [Pontiac fever]",3,"Bacterial infection; unspecified site"
"A483","Toxic shock syndrome",3,"Bacterial infection; unspecified site"
"A484","Brazilian purpuric fever",3,"Bacterial infection; unspecified site"
"A4851","Infant botulism",224,"Other perinatal conditions"
"A4852","Wound botulism",3,"Bacterial infection; unspecified site"
"A488","Other specified bacterial diseases",3,"Bacterial infection; unspecified site"
"A4901","Methicillin susceptible Staphylococcus aureus infection, unspecified site",3,"Bacterial infection; unspecified site"
"A4902","Methicillin resistant Staphylococcus aureus infection, unspecified site",3,"Bacterial infection; unspecified site"
"A491","Streptococcal infection, unspecified site",3,"Bacterial infection; unspecified site"
"A492","Hemophilus influenzae infection, unspecified site",3,"Bacterial infection; unspecified site"
"A493","Mycoplasma infection, unspecified site",3,"Bacterial infection; unspecified site"
"A498","Other bacterial infections of unspecified site",3,"Bacterial infection; unspecified site"
"A499","Bacterial infection, unspecified",3,"Bacterial infection; unspecified site"
"A5001","Early congenital syphilitic oculopathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5002","Early congenital syphilitic osteochondropathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5003","Early congenital syphilitic pharyngitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5004","Early congenital syphilitic pneumonia",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5005","Early congenital syphilitic rhinitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5006","Early cutaneous congenital syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5007","Early mucocutaneous congenital syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5008","Early visceral congenital syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5009","Other early congenital syphilis, symptomatic",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A501","Early congenital syphilis, latent",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A502","Early congenital syphilis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5030","Late congenital syphilitic oculopathy, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
