"icd_10_cm","description","ccs_diagnosis_category","ccs_description"
"S82291R","Other fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82291S","Other fracture of shaft of right tibia, sequela",230,"Fracture of lower limb"
"S82292A","Other fracture of shaft of left tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82292B","Other fracture of shaft of left tibia, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82292C","Other fracture of shaft of left tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82292D","Other fracture of shaft of left tibia, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82292E","Other fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82292F","Other fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82292G","Other fracture of shaft of left tibia, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82292H","Other fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82292J","Other fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82292K","Other fracture of shaft of left tibia, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82292M","Other fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82292N","Other fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82292P","Other fracture of shaft of left tibia, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82292Q","Other fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82292R","Other fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82292S","Other fracture of shaft of left tibia, sequela",230,"Fracture of lower limb"
"S82299A","Other fracture of shaft of unspecified tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82299B","Other fracture of shaft of unspecified tibia, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82299C","Other fracture of shaft of unspecified tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82299D","Other fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82299E","Other fracture of shaft of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82299F","Other fracture of shaft of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82299G","Other fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82299H","Other fracture of shaft of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82299J","Other fracture of shaft of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82299K","Other fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82299M","Other fracture of shaft of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82299N","Other fracture of shaft of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82299P","Other fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82299Q","Other fracture of shaft of unspecified tibia, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82299R","Other fracture of shaft of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82299S","Other fracture of shaft of unspecified tibia, sequela",230,"Fracture of lower limb"
"S82301A","Unspecified fracture of lower end of right tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82301B","Unspecified fracture of lower end of right tibia, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82301C","Unspecified fracture of lower end of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82301D","Unspecified fracture of lower end of right tibia, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82301E","Unspecified fracture of lower end of right tibia, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82301F","Unspecified fracture of lower end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82301G","Unspecified fracture of lower end of right tibia, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82301H","Unspecified fracture of lower end of right tibia, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82301J","Unspecified fracture of lower end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82301K","Unspecified fracture of lower end of right tibia, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82301M","Unspecified fracture of lower end of right tibia, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82301N","Unspecified fracture of lower end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82301P","Unspecified fracture of lower end of right tibia, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82301Q","Unspecified fracture of lower end of right tibia, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82301R","Unspecified fracture of lower end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82301S","Unspecified fracture of lower end of right tibia, sequela",230,"Fracture of lower limb"
"S82302A","Unspecified fracture of lower end of left tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82302B","Unspecified fracture of lower end of left tibia, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82302C","Unspecified fracture of lower end of left tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82302D","Unspecified fracture of lower end of left tibia, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82302E","Unspecified fracture of lower end of left tibia, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82302F","Unspecified fracture of lower end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82302G","Unspecified fracture of lower end of left tibia, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82302H","Unspecified fracture of lower end of left tibia, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82302J","Unspecified fracture of lower end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82302K","Unspecified fracture of lower end of left tibia, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82302M","Unspecified fracture of lower end of left tibia, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82302N","Unspecified fracture of lower end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82302P","Unspecified fracture of lower end of left tibia, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82302Q","Unspecified fracture of lower end of left tibia, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82302R","Unspecified fracture of lower end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82302S","Unspecified fracture of lower end of left tibia, sequela",230,"Fracture of lower limb"
"S82309A","Unspecified fracture of lower end of unspecified tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82309B","Unspecified fracture of lower end of unspecified tibia, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82309C","Unspecified fracture of lower end of unspecified tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82309D","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82309E","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82309F","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82309G","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82309H","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82309J","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82309K","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82309M","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82309N","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82309P","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82309Q","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82309R","Unspecified fracture of lower end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82309S","Unspecified fracture of lower end of unspecified tibia, sequela",230,"Fracture of lower limb"
"S82311A","Torus fracture of lower end of right tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82311D","Torus fracture of lower end of right tibia, subsequent encounter for fracture with routine healing",230,"Fracture of lower limb"
"S82311G","Torus fracture of lower end of right tibia, subsequent encounter for fracture with delayed healing",230,"Fracture of lower limb"
"S82311K","Torus fracture of lower end of right tibia, subsequent encounter for fracture with nonunion",230,"Fracture of lower limb"
"S82311P","Torus fracture of lower end of right tibia, subsequent encounter for fracture with malunion",230,"Fracture of lower limb"
"S82311S","Torus fracture of lower end of right tibia, sequela",230,"Fracture of lower limb"
"S82312A","Torus fracture of lower end of left tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82312D","Torus fracture of lower end of left tibia, subsequent encounter for fracture with routine healing",230,"Fracture of lower limb"
"S82312G","Torus fracture of lower end of left tibia, subsequent encounter for fracture with delayed healing",230,"Fracture of lower limb"
"S82312K","Torus fracture of lower end of left tibia, subsequent encounter for fracture with nonunion",230,"Fracture of lower limb"
"S82312P","Torus fracture of lower end of left tibia, subsequent encounter for fracture with malunion",230,"Fracture of lower limb"
"S82312S","Torus fracture of lower end of left tibia, sequela",230,"Fracture of lower limb"
"S82319A","Torus fracture of lower end of unspecified tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82319D","Torus fracture of lower end of unspecified tibia, subsequent encounter for fracture with routine healing",230,"Fracture of lower limb"
"S82319G","Torus fracture of lower end of unspecified tibia, subsequent encounter for fracture with delayed healing",230,"Fracture of lower limb"
"S82319K","Torus fracture of lower end of unspecified tibia, subsequent encounter for fracture with nonunion",230,"Fracture of lower limb"
"S82319P","Torus fracture of lower end of unspecified tibia, subsequent encounter for fracture with malunion",230,"Fracture of lower limb"
"S82319S","Torus fracture of lower end of unspecified tibia, sequela",230,"Fracture of lower limb"
"S82391A","Other fracture of lower end of right tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82391B","Other fracture of lower end of right tibia, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82391C","Other fracture of lower end of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82391D","Other fracture of lower end of right tibia, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82391E","Other fracture of lower end of right tibia, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82391F","Other fracture of lower end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82391G","Other fracture of lower end of right tibia, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82391H","Other fracture of lower end of right tibia, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82391J","Other fracture of lower end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82391K","Other fracture of lower end of right tibia, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82391M","Other fracture of lower end of right tibia, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82391N","Other fracture of lower end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82391P","Other fracture of lower end of right tibia, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82391Q","Other fracture of lower end of right tibia, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82391R","Other fracture of lower end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82391S","Other fracture of lower end of right tibia, sequela",230,"Fracture of lower limb"
"S82392A","Other fracture of lower end of left tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82392B","Other fracture of lower end of left tibia, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82392C","Other fracture of lower end of left tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82392D","Other fracture of lower end of left tibia, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82392E","Other fracture of lower end of left tibia, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82392F","Other fracture of lower end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82392G","Other fracture of lower end of left tibia, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82392H","Other fracture of lower end of left tibia, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82392J","Other fracture of lower end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82392K","Other fracture of lower end of left tibia, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82392M","Other fracture of lower end of left tibia, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82392N","Other fracture of lower end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82392P","Other fracture of lower end of left tibia, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82392Q","Other fracture of lower end of left tibia, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82392R","Other fracture of lower end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82392S","Other fracture of lower end of left tibia, sequela",230,"Fracture of lower limb"
"S82399A","Other fracture of lower end of unspecified tibia, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82399B","Other fracture of lower end of unspecified tibia, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82399C","Other fracture of lower end of unspecified tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82399D","Other fracture of lower end of unspecified tibia, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82399E","Other fracture of lower end of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82399F","Other fracture of lower end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82399G","Other fracture of lower end of unspecified tibia, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82399H","Other fracture of lower end of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82399J","Other fracture of lower end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82399K","Other fracture of lower end of unspecified tibia, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82399M","Other fracture of lower end of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82399N","Other fracture of lower end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82399P","Other fracture of lower end of unspecified tibia, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82399Q","Other fracture of lower end of unspecified tibia, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82399R","Other fracture of lower end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82399S","Other fracture of lower end of unspecified tibia, sequela",230,"Fracture of lower limb"
"S82401A","Unspecified fracture of shaft of right fibula, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82401B","Unspecified fracture of shaft of right fibula, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82401C","Unspecified fracture of shaft of right fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82401D","Unspecified fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82401E","Unspecified fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82401F","Unspecified fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82401G","Unspecified fracture of shaft of right fibula, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82401H","Unspecified fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82401J","Unspecified fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82401K","Unspecified fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82401M","Unspecified fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82401N","Unspecified fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82401P","Unspecified fracture of shaft of right fibula, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82401Q","Unspecified fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82401R","Unspecified fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82401S","Unspecified fracture of shaft of right fibula, sequela",230,"Fracture of lower limb"
"S82402A","Unspecified fracture of shaft of left fibula, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82402B","Unspecified fracture of shaft of left fibula, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82402C","Unspecified fracture of shaft of left fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82402D","Unspecified fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82402E","Unspecified fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82402F","Unspecified fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82402G","Unspecified fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82402H","Unspecified fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82402J","Unspecified fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82402K","Unspecified fracture of shaft of left fibula, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82402M","Unspecified fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82402N","Unspecified fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82402P","Unspecified fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82402Q","Unspecified fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82402R","Unspecified fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82402S","Unspecified fracture of shaft of left fibula, sequela",230,"Fracture of lower limb"
"S82409A","Unspecified fracture of shaft of unspecified fibula, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82409B","Unspecified fracture of shaft of unspecified fibula, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82409C","Unspecified fracture of shaft of unspecified fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82409D","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82409E","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82409F","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82409G","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82409H","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82409J","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82409K","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82409M","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82409N","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82409P","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82409Q","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82409R","Unspecified fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82409S","Unspecified fracture of shaft of unspecified fibula, sequela",230,"Fracture of lower limb"
"S82421A","Displaced transverse fracture of shaft of right fibula, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82421B","Displaced transverse fracture of shaft of right fibula, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82421C","Displaced transverse fracture of shaft of right fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82421D","Displaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82421E","Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82421F","Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82421G","Displaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82421H","Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82421J","Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82421K","Displaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82421M","Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82421N","Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82421P","Displaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82421Q","Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82421R","Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82421S","Displaced transverse fracture of shaft of right fibula, sequela",230,"Fracture of lower limb"
"S82422A","Displaced transverse fracture of shaft of left fibula, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82422B","Displaced transverse fracture of shaft of left fibula, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82422C","Displaced transverse fracture of shaft of left fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82422D","Displaced transverse fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82422E","Displaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
"S82422F","Displaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",230,"Fracture of lower limb"
"S82422G","Displaced transverse fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing",230,"Fracture of lower limb"
"S82422H","Displaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with delayed healing",230,"Fracture of lower limb"
"S82422J","Displaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",230,"Fracture of lower limb"
"S82422K","Displaced transverse fracture of shaft of left fibula, subsequent encounter for closed fracture with nonunion",230,"Fracture of lower limb"
"S82422M","Displaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with nonunion",230,"Fracture of lower limb"
"S82422N","Displaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",230,"Fracture of lower limb"
"S82422P","Displaced transverse fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion",230,"Fracture of lower limb"
"S82422Q","Displaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion",230,"Fracture of lower limb"
"S82422R","Displaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",230,"Fracture of lower limb"
"S82422S","Displaced transverse fracture of shaft of left fibula, sequela",230,"Fracture of lower limb"
"S82423A","Displaced transverse fracture of shaft of unspecified fibula, initial encounter for closed fracture",230,"Fracture of lower limb"
"S82423B","Displaced transverse fracture of shaft of unspecified fibula, initial encounter for open fracture type I or II",230,"Fracture of lower limb"
"S82423C","Displaced transverse fracture of shaft of unspecified fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",230,"Fracture of lower limb"
"S82423D","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with routine healing",230,"Fracture of lower limb"
"S82423E","Displaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with routine healing",230,"Fracture of lower limb"
