"icd_10_cm","valid_flag","short_description","long_description"
"S65112A",1,"Laceration of radial artery at wrs/hnd lv of left arm, init","Laceration of radial artery at wrist and hand level of left arm, initial encounter"
"S65112D",1,"Laceration of radial artery at wrs/hnd lv of left arm, subs","Laceration of radial artery at wrist and hand level of left arm, subsequent encounter"
"S65112S",1,"Lacerat radial artery at wrs/hnd lv of left arm, sequela","Laceration of radial artery at wrist and hand level of left arm, sequela"
"S65119",0,"Laceration of radial artery at wrs/hnd lv of unsp arm","Laceration of radial artery at wrist and hand level of unspecified arm"
"S65119A",1,"Laceration of radial artery at wrs/hnd lv of unsp arm, init","Laceration of radial artery at wrist and hand level of unspecified arm, initial encounter"
"S65119D",1,"Laceration of radial artery at wrs/hnd lv of unsp arm, subs","Laceration of radial artery at wrist and hand level of unspecified arm, subsequent encounter"
"S65119S",1,"Lacerat radial artery at wrs/hnd lv of unsp arm, sequela","Laceration of radial artery at wrist and hand level of unspecified arm, sequela"
"S6519",0,"Oth injury of radial artery at wrist and hand level","Other specified injury of radial artery at wrist and hand level"
"S65191",0,"Inj radial artery at wrist and hand level of right arm","Other specified injury of radial artery at wrist and hand level of right arm"
"S65191A",1,"Inj radial artery at wrist and hand level of right arm, init","Other specified injury of radial artery at wrist and hand level of right arm, initial encounter"
"S65191D",1,"Inj radial artery at wrist and hand level of right arm, subs","Other specified injury of radial artery at wrist and hand level of right arm, subsequent encounter"
"S65191S",1,"Inj radial artery at wrs/hnd lv of right arm, sequela","Other specified injury of radial artery at wrist and hand level of right arm, sequela"
"S65192",0,"Inj radial artery at wrist and hand level of left arm","Other specified injury of radial artery at wrist and hand level of left arm"
"S65192A",1,"Inj radial artery at wrist and hand level of left arm, init","Other specified injury of radial artery at wrist and hand level of left arm, initial encounter"
"S65192D",1,"Inj radial artery at wrist and hand level of left arm, subs","Other specified injury of radial artery at wrist and hand level of left arm, subsequent encounter"
"S65192S",1,"Inj radial artery at wrs/hnd lv of left arm, sequela","Other specified injury of radial artery at wrist and hand level of left arm, sequela"
"S65199",0,"Inj radial artery at wrist and hand level of unsp arm","Other specified injury of radial artery at wrist and hand level of unspecified arm"
"S65199A",1,"Inj radial artery at wrist and hand level of unsp arm, init","Other specified injury of radial artery at wrist and hand level of unspecified arm, initial encounter"
"S65199D",1,"Inj radial artery at wrist and hand level of unsp arm, subs","Other specified injury of radial artery at wrist and hand level of unspecified arm, subsequent encounter"
"S65199S",1,"Inj radial artery at wrs/hnd lv of unsp arm, sequela","Other specified injury of radial artery at wrist and hand level of unspecified arm, sequela"
"S652",0,"Injury of superficial palmar arch","Injury of superficial palmar arch"
"S6520",0,"Unspecified injury of superficial palmar arch","Unspecified injury of superficial palmar arch"
"S65201",0,"Unspecified injury of superficial palmar arch of right hand","Unspecified injury of superficial palmar arch of right hand"
"S65201A",1,"Unsp injury of superficial palmar arch of right hand, init","Unspecified injury of superficial palmar arch of right hand, initial encounter"
"S65201D",1,"Unsp injury of superficial palmar arch of right hand, subs","Unspecified injury of superficial palmar arch of right hand, subsequent encounter"
"S65201S",1,"Unsp injury of superfic palmar arch of right hand, sequela","Unspecified injury of superficial palmar arch of right hand, sequela"
"S65202",0,"Unspecified injury of superficial palmar arch of left hand","Unspecified injury of superficial palmar arch of left hand"
"S65202A",1,"Unsp injury of superficial palmar arch of left hand, init","Unspecified injury of superficial palmar arch of left hand, initial encounter"
"S65202D",1,"Unsp injury of superficial palmar arch of left hand, subs","Unspecified injury of superficial palmar arch of left hand, subsequent encounter"
"S65202S",1,"Unsp injury of superficial palmar arch of left hand, sequela","Unspecified injury of superficial palmar arch of left hand, sequela"
"S65209",0,"Unsp injury of superficial palmar arch of unspecified hand","Unspecified injury of superficial palmar arch of unspecified hand"
"S65209A",1,"Unsp injury of superficial palmar arch of unsp hand, init","Unspecified injury of superficial palmar arch of unspecified hand, initial encounter"
"S65209D",1,"Unsp injury of superficial palmar arch of unsp hand, subs","Unspecified injury of superficial palmar arch of unspecified hand, subsequent encounter"
"S65209S",1,"Unsp injury of superficial palmar arch of unsp hand, sequela","Unspecified injury of superficial palmar arch of unspecified hand, sequela"
"S6521",0,"Laceration of superficial palmar arch","Laceration of superficial palmar arch"
"S65211",0,"Laceration of superficial palmar arch of right hand","Laceration of superficial palmar arch of right hand"
"S65211A",1,"Laceration of superficial palmar arch of right hand, init","Laceration of superficial palmar arch of right hand, initial encounter"
"S65211D",1,"Laceration of superficial palmar arch of right hand, subs","Laceration of superficial palmar arch of right hand, subsequent encounter"
"S65211S",1,"Laceration of superficial palmar arch of right hand, sequela","Laceration of superficial palmar arch of right hand, sequela"
"S65212",0,"Laceration of superficial palmar arch of left hand","Laceration of superficial palmar arch of left hand"
"S65212A",1,"Laceration of superficial palmar arch of left hand, init","Laceration of superficial palmar arch of left hand, initial encounter"
"S65212D",1,"Laceration of superficial palmar arch of left hand, subs","Laceration of superficial palmar arch of left hand, subsequent encounter"
"S65212S",1,"Laceration of superficial palmar arch of left hand, sequela","Laceration of superficial palmar arch of left hand, sequela"
"S65219",0,"Laceration of superficial palmar arch of unspecified hand","Laceration of superficial palmar arch of unspecified hand"
"S65219A",1,"Laceration of superficial palmar arch of unsp hand, init","Laceration of superficial palmar arch of unspecified hand, initial encounter"
"S65219D",1,"Laceration of superficial palmar arch of unsp hand, subs","Laceration of superficial palmar arch of unspecified hand, subsequent encounter"
"S65219S",1,"Laceration of superficial palmar arch of unsp hand, sequela","Laceration of superficial palmar arch of unspecified hand, sequela"
"S6529",0,"Other specified injury of superficial palmar arch","Other specified injury of superficial palmar arch"
"S65291",0,"Oth injury of superficial palmar arch of right hand","Other specified injury of superficial palmar arch of right hand"
"S65291A",1,"Inj superficial palmar arch of right hand, init encntr","Other specified injury of superficial palmar arch of right hand, initial encounter"
"S65291D",1,"Inj superficial palmar arch of right hand, subs encntr","Other specified injury of superficial palmar arch of right hand, subsequent encounter"
"S65291S",1,"Oth injury of superficial palmar arch of right hand, sequela","Other specified injury of superficial palmar arch of right hand, sequela"
"S65292",0,"Oth injury of superficial palmar arch of left hand","Other specified injury of superficial palmar arch of left hand"
"S65292A",1,"Inj superficial palmar arch of left hand, init encntr","Other specified injury of superficial palmar arch of left hand, initial encounter"
"S65292D",1,"Inj superficial palmar arch of left hand, subs encntr","Other specified injury of superficial palmar arch of left hand, subsequent encounter"
"S65292S",1,"Oth injury of superficial palmar arch of left hand, sequela","Other specified injury of superficial palmar arch of left hand, sequela"
"S65299",0,"Oth injury of superficial palmar arch of unspecified hand","Other specified injury of superficial palmar arch of unspecified hand"
"S65299A",1,"Inj superficial palmar arch of unsp hand, init encntr","Other specified injury of superficial palmar arch of unspecified hand, initial encounter"
"S65299D",1,"Inj superficial palmar arch of unsp hand, subs encntr","Other specified injury of superficial palmar arch of unspecified hand, subsequent encounter"
"S65299S",1,"Oth injury of superficial palmar arch of unsp hand, sequela","Other specified injury of superficial palmar arch of unspecified hand, sequela"
"S653",0,"Injury of deep palmar arch","Injury of deep palmar arch"
"S6530",0,"Unspecified injury of deep palmar arch","Unspecified injury of deep palmar arch"
"S65301",0,"Unspecified injury of deep palmar arch of right hand","Unspecified injury of deep palmar arch of right hand"
"S65301A",1,"Unsp injury of deep palmar arch of right hand, init encntr","Unspecified injury of deep palmar arch of right hand, initial encounter"
"S65301D",1,"Unsp injury of deep palmar arch of right hand, subs encntr","Unspecified injury of deep palmar arch of right hand, subsequent encounter"
"S65301S",1,"Unsp injury of deep palmar arch of right hand, sequela","Unspecified injury of deep palmar arch of right hand, sequela"
"S65302",0,"Unspecified injury of deep palmar arch of left hand","Unspecified injury of deep palmar arch of left hand"
"S65302A",1,"Unsp injury of deep palmar arch of left hand, init encntr","Unspecified injury of deep palmar arch of left hand, initial encounter"
"S65302D",1,"Unsp injury of deep palmar arch of left hand, subs encntr","Unspecified injury of deep palmar arch of left hand, subsequent encounter"
"S65302S",1,"Unspecified injury of deep palmar arch of left hand, sequela","Unspecified injury of deep palmar arch of left hand, sequela"
"S65309",0,"Unspecified injury of deep palmar arch of unspecified hand","Unspecified injury of deep palmar arch of unspecified hand"
"S65309A",1,"Unsp injury of deep palmar arch of unsp hand, init encntr","Unspecified injury of deep palmar arch of unspecified hand, initial encounter"
"S65309D",1,"Unsp injury of deep palmar arch of unsp hand, subs encntr","Unspecified injury of deep palmar arch of unspecified hand, subsequent encounter"
"S65309S",1,"Unsp injury of deep palmar arch of unspecified hand, sequela","Unspecified injury of deep palmar arch of unspecified hand, sequela"
"S6531",0,"Laceration of deep palmar arch","Laceration of deep palmar arch"
"S65311",0,"Laceration of deep palmar arch of right hand","Laceration of deep palmar arch of right hand"
"S65311A",1,"Laceration of deep palmar arch of right hand, init encntr","Laceration of deep palmar arch of right hand, initial encounter"
"S65311D",1,"Laceration of deep palmar arch of right hand, subs encntr","Laceration of deep palmar arch of right hand, subsequent encounter"
"S65311S",1,"Laceration of deep palmar arch of right hand, sequela","Laceration of deep palmar arch of right hand, sequela"
"S65312",0,"Laceration of deep palmar arch of left hand","Laceration of deep palmar arch of left hand"
"S65312A",1,"Laceration of deep palmar arch of left hand, init encntr","Laceration of deep palmar arch of left hand, initial encounter"
"S65312D",1,"Laceration of deep palmar arch of left hand, subs encntr","Laceration of deep palmar arch of left hand, subsequent encounter"
"S65312S",1,"Laceration of deep palmar arch of left hand, sequela","Laceration of deep palmar arch of left hand, sequela"
"S65319",0,"Laceration of deep palmar arch of unspecified hand","Laceration of deep palmar arch of unspecified hand"
"S65319A",1,"Laceration of deep palmar arch of unsp hand, init encntr","Laceration of deep palmar arch of unspecified hand, initial encounter"
"S65319D",1,"Laceration of deep palmar arch of unsp hand, subs encntr","Laceration of deep palmar arch of unspecified hand, subsequent encounter"
"S65319S",1,"Laceration of deep palmar arch of unspecified hand, sequela","Laceration of deep palmar arch of unspecified hand, sequela"
"S6539",0,"Other specified injury of deep palmar arch","Other specified injury of deep palmar arch"
"S65391",0,"Other specified injury of deep palmar arch of right hand","Other specified injury of deep palmar arch of right hand"
"S65391A",1,"Oth injury of deep palmar arch of right hand, init encntr","Other specified injury of deep palmar arch of right hand, initial encounter"
"S65391D",1,"Oth injury of deep palmar arch of right hand, subs encntr","Other specified injury of deep palmar arch of right hand, subsequent encounter"
"S65391S",1,"Oth injury of deep palmar arch of right hand, sequela","Other specified injury of deep palmar arch of right hand, sequela"
"S65392",0,"Other specified injury of deep palmar arch of left hand","Other specified injury of deep palmar arch of left hand"
"S65392A",1,"Oth injury of deep palmar arch of left hand, init encntr","Other specified injury of deep palmar arch of left hand, initial encounter"
"S65392D",1,"Oth injury of deep palmar arch of left hand, subs encntr","Other specified injury of deep palmar arch of left hand, subsequent encounter"
"S65392S",1,"Oth injury of deep palmar arch of left hand, sequela","Other specified injury of deep palmar arch of left hand, sequela"
"S65399",0,"Oth injury of deep palmar arch of unspecified hand","Other specified injury of deep palmar arch of unspecified hand"
"S65399A",1,"Oth injury of deep palmar arch of unsp hand, init encntr","Other specified injury of deep palmar arch of unspecified hand, initial encounter"
"S65399D",1,"Oth injury of deep palmar arch of unsp hand, subs encntr","Other specified injury of deep palmar arch of unspecified hand, subsequent encounter"
"S65399S",1,"Oth injury of deep palmar arch of unspecified hand, sequela","Other specified injury of deep palmar arch of unspecified hand, sequela"
"S654",0,"Injury of blood vessel of thumb","Injury of blood vessel of thumb"
"S6540",0,"Unspecified injury of blood vessel of thumb","Unspecified injury of blood vessel of thumb"
"S65401",0,"Unspecified injury of blood vessel of right thumb","Unspecified injury of blood vessel of right thumb"
"S65401A",1,"Unsp injury of blood vessel of right thumb, init encntr","Unspecified injury of blood vessel of right thumb, initial encounter"
"S65401D",1,"Unsp injury of blood vessel of right thumb, subs encntr","Unspecified injury of blood vessel of right thumb, subsequent encounter"
"S65401S",1,"Unspecified injury of blood vessel of right thumb, sequela","Unspecified injury of blood vessel of right thumb, sequela"
"S65402",0,"Unspecified injury of blood vessel of left thumb","Unspecified injury of blood vessel of left thumb"
"S65402A",1,"Unsp injury of blood vessel of left thumb, init encntr","Unspecified injury of blood vessel of left thumb, initial encounter"
"S65402D",1,"Unsp injury of blood vessel of left thumb, subs encntr","Unspecified injury of blood vessel of left thumb, subsequent encounter"
"S65402S",1,"Unspecified injury of blood vessel of left thumb, sequela","Unspecified injury of blood vessel of left thumb, sequela"
"S65409",0,"Unspecified injury of blood vessel of unspecified thumb","Unspecified injury of blood vessel of unspecified thumb"
"S65409A",1,"Unsp injury of blood vessel of unsp thumb, init encntr","Unspecified injury of blood vessel of unspecified thumb, initial encounter"
"S65409D",1,"Unsp injury of blood vessel of unsp thumb, subs encntr","Unspecified injury of blood vessel of unspecified thumb, subsequent encounter"
"S65409S",1,"Unsp injury of blood vessel of unspecified thumb, sequela","Unspecified injury of blood vessel of unspecified thumb, sequela"
"S6541",0,"Laceration of blood vessel of thumb","Laceration of blood vessel of thumb"
"S65411",0,"Laceration of blood vessel of right thumb","Laceration of blood vessel of right thumb"
"S65411A",1,"Laceration of blood vessel of right thumb, initial encounter","Laceration of blood vessel of right thumb, initial encounter"
"S65411D",1,"Laceration of blood vessel of right thumb, subs encntr","Laceration of blood vessel of right thumb, subsequent encounter"
"S65411S",1,"Laceration of blood vessel of right thumb, sequela","Laceration of blood vessel of right thumb, sequela"
"S65412",0,"Laceration of blood vessel of left thumb","Laceration of blood vessel of left thumb"
"S65412A",1,"Laceration of blood vessel of left thumb, initial encounter","Laceration of blood vessel of left thumb, initial encounter"
"S65412D",1,"Laceration of blood vessel of left thumb, subs encntr","Laceration of blood vessel of left thumb, subsequent encounter"
"S65412S",1,"Laceration of blood vessel of left thumb, sequela","Laceration of blood vessel of left thumb, sequela"
"S65419",0,"Laceration of blood vessel of unspecified thumb","Laceration of blood vessel of unspecified thumb"
"S65419A",1,"Laceration of blood vessel of unspecified thumb, init encntr","Laceration of blood vessel of unspecified thumb, initial encounter"
"S65419D",1,"Laceration of blood vessel of unspecified thumb, subs encntr","Laceration of blood vessel of unspecified thumb, subsequent encounter"
"S65419S",1,"Laceration of blood vessel of unspecified thumb, sequela","Laceration of blood vessel of unspecified thumb, sequela"
"S6549",0,"Other specified injury of blood vessel of thumb","Other specified injury of blood vessel of thumb"
"S65491",0,"Other specified injury of blood vessel of right thumb","Other specified injury of blood vessel of right thumb"
"S65491A",1,"Oth injury of blood vessel of right thumb, init encntr","Other specified injury of blood vessel of right thumb, initial encounter"
"S65491D",1,"Oth injury of blood vessel of right thumb, subs encntr","Other specified injury of blood vessel of right thumb, subsequent encounter"
"S65491S",1,"Oth injury of blood vessel of right thumb, sequela","Other specified injury of blood vessel of right thumb, sequela"
"S65492",0,"Other specified injury of blood vessel of left thumb","Other specified injury of blood vessel of left thumb"
"S65492A",1,"Oth injury of blood vessel of left thumb, init encntr","Other specified injury of blood vessel of left thumb, initial encounter"
"S65492D",1,"Oth injury of blood vessel of left thumb, subs encntr","Other specified injury of blood vessel of left thumb, subsequent encounter"
"S65492S",1,"Oth injury of blood vessel of left thumb, sequela","Other specified injury of blood vessel of left thumb, sequela"
"S65499",0,"Other specified injury of blood vessel of unspecified thumb","Other specified injury of blood vessel of unspecified thumb"
"S65499A",1,"Oth injury of blood vessel of unspecified thumb, init encntr","Other specified injury of blood vessel of unspecified thumb, initial encounter"
"S65499D",1,"Oth injury of blood vessel of unspecified thumb, subs encntr","Other specified injury of blood vessel of unspecified thumb, subsequent encounter"
"S65499S",1,"Oth injury of blood vessel of unspecified thumb, sequela","Other specified injury of blood vessel of unspecified thumb, sequela"
"S655",0,"Injury of blood vessel of other and unspecified finger","Injury of blood vessel of other and unspecified finger"
"S6550",0,"Unsp injury of blood vessel of other and unspecified finger","Unspecified injury of blood vessel of other and unspecified finger"
"S65500",0,"Unspecified injury of blood vessel of right index finger","Unspecified injury of blood vessel of right index finger"
"S65500A",1,"Unsp injury of blood vessel of right index finger, init","Unspecified injury of blood vessel of right index finger, initial encounter"
"S65500D",1,"Unsp injury of blood vessel of right index finger, subs","Unspecified injury of blood vessel of right index finger, subsequent encounter"
"S65500S",1,"Unsp injury of blood vessel of right index finger, sequela","Unspecified injury of blood vessel of right index finger, sequela"
"S65501",0,"Unspecified injury of blood vessel of left index finger","Unspecified injury of blood vessel of left index finger"
"S65501A",1,"Unsp injury of blood vessel of left index finger, init","Unspecified injury of blood vessel of left index finger, initial encounter"
"S65501D",1,"Unsp injury of blood vessel of left index finger, subs","Unspecified injury of blood vessel of left index finger, subsequent encounter"
"S65501S",1,"Unsp injury of blood vessel of left index finger, sequela","Unspecified injury of blood vessel of left index finger, sequela"
"S65502",0,"Unspecified injury of blood vessel of right middle finger","Unspecified injury of blood vessel of right middle finger"
"S65502A",1,"Unsp injury of blood vessel of right middle finger, init","Unspecified injury of blood vessel of right middle finger, initial encounter"
"S65502D",1,"Unsp injury of blood vessel of right middle finger, subs","Unspecified injury of blood vessel of right middle finger, subsequent encounter"
"S65502S",1,"Unsp injury of blood vessel of right middle finger, sequela","Unspecified injury of blood vessel of right middle finger, sequela"
"S65503",0,"Unspecified injury of blood vessel of left middle finger","Unspecified injury of blood vessel of left middle finger"
"S65503A",1,"Unsp injury of blood vessel of left middle finger, init","Unspecified injury of blood vessel of left middle finger, initial encounter"
"S65503D",1,"Unsp injury of blood vessel of left middle finger, subs","Unspecified injury of blood vessel of left middle finger, subsequent encounter"
"S65503S",1,"Unsp injury of blood vessel of left middle finger, sequela","Unspecified injury of blood vessel of left middle finger, sequela"
"S65504",0,"Unspecified injury of blood vessel of right ring finger","Unspecified injury of blood vessel of right ring finger"
"S65504A",1,"Unsp injury of blood vessel of right ring finger, init","Unspecified injury of blood vessel of right ring finger, initial encounter"
"S65504D",1,"Unsp injury of blood vessel of right ring finger, subs","Unspecified injury of blood vessel of right ring finger, subsequent encounter"
"S65504S",1,"Unsp injury of blood vessel of right ring finger, sequela","Unspecified injury of blood vessel of right ring finger, sequela"
"S65505",0,"Unspecified injury of blood vessel of left ring finger","Unspecified injury of blood vessel of left ring finger"
"S65505A",1,"Unsp injury of blood vessel of left ring finger, init encntr","Unspecified injury of blood vessel of left ring finger, initial encounter"
"S65505D",1,"Unsp injury of blood vessel of left ring finger, subs encntr","Unspecified injury of blood vessel of left ring finger, subsequent encounter"
"S65505S",1,"Unsp injury of blood vessel of left ring finger, sequela","Unspecified injury of blood vessel of left ring finger, sequela"
"S65506",0,"Unspecified injury of blood vessel of right little finger","Unspecified injury of blood vessel of right little finger"
"S65506A",1,"Unsp injury of blood vessel of right little finger, init","Unspecified injury of blood vessel of right little finger, initial encounter"
"S65506D",1,"Unsp injury of blood vessel of right little finger, subs","Unspecified injury of blood vessel of right little finger, subsequent encounter"
"S65506S",1,"Unsp injury of blood vessel of right little finger, sequela","Unspecified injury of blood vessel of right little finger, sequela"
"S65507",0,"Unspecified injury of blood vessel of left little finger","Unspecified injury of blood vessel of left little finger"
"S65507A",1,"Unsp injury of blood vessel of left little finger, init","Unspecified injury of blood vessel of left little finger, initial encounter"
"S65507D",1,"Unsp injury of blood vessel of left little finger, subs","Unspecified injury of blood vessel of left little finger, subsequent encounter"
"S65507S",1,"Unsp injury of blood vessel of left little finger, sequela","Unspecified injury of blood vessel of left little finger, sequela"
"S65508",0,"Unspecified injury of blood vessel of other finger","Unspecified injury of blood vessel of other finger"
"S65508A",1,"Unsp injury of blood vessel of other finger, init encntr","Unspecified injury of blood vessel of other finger, initial encounter"
"S65508D",1,"Unsp injury of blood vessel of other finger, subs encntr","Unspecified injury of blood vessel of other finger, subsequent encounter"
"S65508S",1,"Unspecified injury of blood vessel of other finger, sequela","Unspecified injury of blood vessel of other finger, sequela"
"S65509",0,"Unspecified injury of blood vessel of unspecified finger","Unspecified injury of blood vessel of unspecified finger"
"S65509A",1,"Unsp injury of blood vessel of unsp finger, init encntr","Unspecified injury of blood vessel of unspecified finger, initial encounter"
"S65509D",1,"Unsp injury of blood vessel of unsp finger, subs encntr","Unspecified injury of blood vessel of unspecified finger, subsequent encounter"
"S65509S",1,"Unsp injury of blood vessel of unspecified finger, sequela","Unspecified injury of blood vessel of unspecified finger, sequela"
"S6551",0,"Laceration of blood vessel of other and unspecified finger","Laceration of blood vessel of other and unspecified finger"
"S65510",0,"Laceration of blood vessel of right index finger","Laceration of blood vessel of right index finger"
"S65510A",1,"Laceration of blood vessel of right index finger, init","Laceration of blood vessel of right index finger, initial encounter"
"S65510D",1,"Laceration of blood vessel of right index finger, subs","Laceration of blood vessel of right index finger, subsequent encounter"
"S65510S",1,"Laceration of blood vessel of right index finger, sequela","Laceration of blood vessel of right index finger, sequela"
"S65511",0,"Laceration of blood vessel of left index finger","Laceration of blood vessel of left index finger"
"S65511A",1,"Laceration of blood vessel of left index finger, init encntr","Laceration of blood vessel of left index finger, initial encounter"
"S65511D",1,"Laceration of blood vessel of left index finger, subs encntr","Laceration of blood vessel of left index finger, subsequent encounter"
"S65511S",1,"Laceration of blood vessel of left index finger, sequela","Laceration of blood vessel of left index finger, sequela"
"S65512",0,"Laceration of blood vessel of right middle finger","Laceration of blood vessel of right middle finger"
"S65512A",1,"Laceration of blood vessel of right middle finger, init","Laceration of blood vessel of right middle finger, initial encounter"
"S65512D",1,"Laceration of blood vessel of right middle finger, subs","Laceration of blood vessel of right middle finger, subsequent encounter"
"S65512S",1,"Laceration of blood vessel of right middle finger, sequela","Laceration of blood vessel of right middle finger, sequela"
"S65513",0,"Laceration of blood vessel of left middle finger","Laceration of blood vessel of left middle finger"
"S65513A",1,"Laceration of blood vessel of left middle finger, init","Laceration of blood vessel of left middle finger, initial encounter"
"S65513D",1,"Laceration of blood vessel of left middle finger, subs","Laceration of blood vessel of left middle finger, subsequent encounter"
"S65513S",1,"Laceration of blood vessel of left middle finger, sequela","Laceration of blood vessel of left middle finger, sequela"
"S65514",0,"Laceration of blood vessel of right ring finger","Laceration of blood vessel of right ring finger"
"S65514A",1,"Laceration of blood vessel of right ring finger, init encntr","Laceration of blood vessel of right ring finger, initial encounter"
"S65514D",1,"Laceration of blood vessel of right ring finger, subs encntr","Laceration of blood vessel of right ring finger, subsequent encounter"
"S65514S",1,"Laceration of blood vessel of right ring finger, sequela","Laceration of blood vessel of right ring finger, sequela"
"S65515",0,"Laceration of blood vessel of left ring finger","Laceration of blood vessel of left ring finger"
"S65515A",1,"Laceration of blood vessel of left ring finger, init encntr","Laceration of blood vessel of left ring finger, initial encounter"
"S65515D",1,"Laceration of blood vessel of left ring finger, subs encntr","Laceration of blood vessel of left ring finger, subsequent encounter"
"S65515S",1,"Laceration of blood vessel of left ring finger, sequela","Laceration of blood vessel of left ring finger, sequela"
"S65516",0,"Laceration of blood vessel of right little finger","Laceration of blood vessel of right little finger"
"S65516A",1,"Laceration of blood vessel of right little finger, init","Laceration of blood vessel of right little finger, initial encounter"
"S65516D",1,"Laceration of blood vessel of right little finger, subs","Laceration of blood vessel of right little finger, subsequent encounter"
"S65516S",1,"Laceration of blood vessel of right little finger, sequela","Laceration of blood vessel of right little finger, sequela"
"S65517",0,"Laceration of blood vessel of left little finger","Laceration of blood vessel of left little finger"
"S65517A",1,"Laceration of blood vessel of left little finger, init","Laceration of blood vessel of left little finger, initial encounter"
"S65517D",1,"Laceration of blood vessel of left little finger, subs","Laceration of blood vessel of left little finger, subsequent encounter"
"S65517S",1,"Laceration of blood vessel of left little finger, sequela","Laceration of blood vessel of left little finger, sequela"
"S65518",0,"Laceration of blood vessel of other finger","Laceration of blood vessel of other finger"
"S65518A",1,"Laceration of blood vessel of other finger, init encntr","Laceration of blood vessel of other finger, initial encounter"
"S65518D",1,"Laceration of blood vessel of other finger, subs encntr","Laceration of blood vessel of other finger, subsequent encounter"
"S65518S",1,"Laceration of blood vessel of other finger, sequela","Laceration of blood vessel of other finger, sequela"
"S65519",0,"Laceration of blood vessel of unspecified finger","Laceration of blood vessel of unspecified finger"
"S65519A",1,"Laceration of blood vessel of unsp finger, init encntr","Laceration of blood vessel of unspecified finger, initial encounter"
"S65519D",1,"Laceration of blood vessel of unsp finger, subs encntr","Laceration of blood vessel of unspecified finger, subsequent encounter"
"S65519S",1,"Laceration of blood vessel of unspecified finger, sequela","Laceration of blood vessel of unspecified finger, sequela"
"S6559",0,"Oth injury of blood vessel of other and unspecified finger","Other specified injury of blood vessel of other and unspecified finger"
"S65590",0,"Other specified injury of blood vessel of right index finger","Other specified injury of blood vessel of right index finger"
"S65590A",1,"Inj blood vessel of right index finger, init encntr","Other specified injury of blood vessel of right index finger, initial encounter"
"S65590D",1,"Inj blood vessel of right index finger, subs encntr","Other specified injury of blood vessel of right index finger, subsequent encounter"
"S65590S",1,"Oth injury of blood vessel of right index finger, sequela","Other specified injury of blood vessel of right index finger, sequela"
"S65591",0,"Other specified injury of blood vessel of left index finger","Other specified injury of blood vessel of left index finger"
"S65591A",1,"Oth injury of blood vessel of left index finger, init encntr","Other specified injury of blood vessel of left index finger, initial encounter"
"S65591D",1,"Oth injury of blood vessel of left index finger, subs encntr","Other specified injury of blood vessel of left index finger, subsequent encounter"
"S65591S",1,"Oth injury of blood vessel of left index finger, sequela","Other specified injury of blood vessel of left index finger, sequela"
"S65592",0,"Oth injury of blood vessel of right middle finger","Other specified injury of blood vessel of right middle finger"
"S65592A",1,"Inj blood vessel of right middle finger, init encntr","Other specified injury of blood vessel of right middle finger, initial encounter"
"S65592D",1,"Inj blood vessel of right middle finger, subs encntr","Other specified injury of blood vessel of right middle finger, subsequent encounter"
"S65592S",1,"Oth injury of blood vessel of right middle finger, sequela","Other specified injury of blood vessel of right middle finger, sequela"
"S65593",0,"Other specified injury of blood vessel of left middle finger","Other specified injury of blood vessel of left middle finger"
"S65593A",1,"Inj blood vessel of left middle finger, init encntr","Other specified injury of blood vessel of left middle finger, initial encounter"
"S65593D",1,"Inj blood vessel of left middle finger, subs encntr","Other specified injury of blood vessel of left middle finger, subsequent encounter"
"S65593S",1,"Oth injury of blood vessel of left middle finger, sequela","Other specified injury of blood vessel of left middle finger, sequela"
"S65594",0,"Other specified injury of blood vessel of right ring finger","Other specified injury of blood vessel of right ring finger"
"S65594A",1,"Oth injury of blood vessel of right ring finger, init encntr","Other specified injury of blood vessel of right ring finger, initial encounter"
"S65594D",1,"Oth injury of blood vessel of right ring finger, subs encntr","Other specified injury of blood vessel of right ring finger, subsequent encounter"
"S65594S",1,"Oth injury of blood vessel of right ring finger, sequela","Other specified injury of blood vessel of right ring finger, sequela"
"S65595",0,"Other specified injury of blood vessel of left ring finger","Other specified injury of blood vessel of left ring finger"
"S65595A",1,"Oth injury of blood vessel of left ring finger, init encntr","Other specified injury of blood vessel of left ring finger, initial encounter"
"S65595D",1,"Oth injury of blood vessel of left ring finger, subs encntr","Other specified injury of blood vessel of left ring finger, subsequent encounter"
"S65595S",1,"Oth injury of blood vessel of left ring finger, sequela","Other specified injury of blood vessel of left ring finger, sequela"
"S65596",0,"Oth injury of blood vessel of right little finger","Other specified injury of blood vessel of right little finger"
"S65596A",1,"Inj blood vessel of right little finger, init encntr","Other specified injury of blood vessel of right little finger, initial encounter"
"S65596D",1,"Inj blood vessel of right little finger, subs encntr","Other specified injury of blood vessel of right little finger, subsequent encounter"
"S65596S",1,"Oth injury of blood vessel of right little finger, sequela","Other specified injury of blood vessel of right little finger, sequela"
"S65597",0,"Other specified injury of blood vessel of left little finger","Other specified injury of blood vessel of left little finger"
"S65597A",1,"Inj blood vessel of left little finger, init encntr","Other specified injury of blood vessel of left little finger, initial encounter"
"S65597D",1,"Inj blood vessel of left little finger, subs encntr","Other specified injury of blood vessel of left little finger, subsequent encounter"
"S65597S",1,"Oth injury of blood vessel of left little finger, sequela","Other specified injury of blood vessel of left little finger, sequela"
"S65598",0,"Other specified injury of blood vessel of other finger","Other specified injury of blood vessel of other finger"
