"icd_10_cm","valid_flag","short_description","long_description"
"H818X3",1,"Other disorders of vestibular function, bilateral","Other disorders of vestibular function, bilateral"
"H818X9",1,"Other disorders of vestibular function, unspecified ear","Other disorders of vestibular function, unspecified ear"
"H819",0,"Unspecified disorder of vestibular function","Unspecified disorder of vestibular function"
"H8190",1,"Unspecified disorder of vestibular function, unspecified ear","Unspecified disorder of vestibular function, unspecified ear"
"H8191",1,"Unspecified disorder of vestibular function, right ear","Unspecified disorder of vestibular function, right ear"
"H8192",1,"Unspecified disorder of vestibular function, left ear","Unspecified disorder of vestibular function, left ear"
"H8193",1,"Unspecified disorder of vestibular function, bilateral","Unspecified disorder of vestibular function, bilateral"
"H82",0,"Vertiginous syndromes in diseases classified elsewhere","Vertiginous syndromes in diseases classified elsewhere"
"H821",1,"Vertiginous syndromes in diseases classd elswhr, right ear","Vertiginous syndromes in diseases classified elsewhere, right ear"
"H822",1,"Vertiginous syndromes in diseases classd elswhr, left ear","Vertiginous syndromes in diseases classified elsewhere, left ear"
"H823",1,"Vertiginous syndromes in diseases classd elswhr, bilateral","Vertiginous syndromes in diseases classified elsewhere, bilateral"
"H829",1,"Vertiginous syndromes in diseases classd elswhr, unsp ear","Vertiginous syndromes in diseases classified elsewhere, unspecified ear"
"H83",0,"Other diseases of inner ear","Other diseases of inner ear"
"H830",0,"Labyrinthitis","Labyrinthitis"
"H8301",1,"Labyrinthitis, right ear","Labyrinthitis, right ear"
"H8302",1,"Labyrinthitis, left ear","Labyrinthitis, left ear"
"H8303",1,"Labyrinthitis, bilateral","Labyrinthitis, bilateral"
"H8309",1,"Labyrinthitis, unspecified ear","Labyrinthitis, unspecified ear"
"H831",0,"Labyrinthine fistula","Labyrinthine fistula"
"H8311",1,"Labyrinthine fistula, right ear","Labyrinthine fistula, right ear"
"H8312",1,"Labyrinthine fistula, left ear","Labyrinthine fistula, left ear"
"H8313",1,"Labyrinthine fistula, bilateral","Labyrinthine fistula, bilateral"
"H8319",1,"Labyrinthine fistula, unspecified ear","Labyrinthine fistula, unspecified ear"
"H832",0,"Labyrinthine dysfunction","Labyrinthine dysfunction"
"H832X",0,"Labyrinthine dysfunction","Labyrinthine dysfunction"
